date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:35	14148/14148	---M--	200	added ('OK')	image/png	etag:%2251f91fd6950f8fa8%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Layanan-Konsultasi-Image.png?fit=264%2C264&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Layanan-Konsultasi-Image50e3.png	(from https://www.niagaweb.co.id/)
11:24:36	276112/276112	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Apr%202022%2004:24:35%20GMT	https://www.niagaweb.co.id/keagenan-niagaweb/	D:/WEBSITE/WEB%20PARTNER/www.niagaweb.co.id/keagenan-niagaweb/index.html	(from https://www.niagaweb.co.id/)
11:24:36	16216/16216	---M--	200	added ('OK')	image/png	etag:%2225195866b8633f5b%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Fasilitas-Editor-Image.png?fit=264%2C264&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Fasilitas-Editor-Image50e3.png	(from https://www.niagaweb.co.id/)
11:24:36	13510/13510	---M--	200	added ('OK')	image/png	etag:%22835d9f8f33a43d87%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Desain-Website-Profesional-Image.png?fit=264%2C264&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Desain-Website-Profesional-Image50e3.png	(from https://www.niagaweb.co.id/)
11:24:36	13725/13725	---M--	200	added ('OK')	image/png	etag:%223efead7aa4595745%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Pembuatan-14-Hari-Image.png?fit=264%2C264&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Pembuatan-14-Hari-Image50e3.png	(from https://www.niagaweb.co.id/)
11:24:36	10851/10851	---M--	200	added ('OK')	image/png	etag:%229f7f3a7b299a7676%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Sukses-dengan-Website-Anda-Image.png?fit=264%2C264&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2019/05/Sukses-dengan-Website-Anda-Image50e3.png	(from https://www.niagaweb.co.id/)
11:24:37	24295/24295	---M--	200	added ('OK')	image/jpeg	etag:%2248b3c4f5a657a8f9%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro1-1.jpg?fit=525%2C341&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro1-1cf2a.jpg	(from https://www.niagaweb.co.id/)
11:24:37	26698/26698	---M--	200	added ('OK')	image/jpeg	etag:%220138dc803d79106f%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro3s.jpg?fit=525%2C360&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro3s2459.jpg	(from https://www.niagaweb.co.id/)
11:24:37	50639/50639	---M--	200	added ('OK')	image/jpeg	etag:%22695149ab43bad12e%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro2s.jpg?fit=525%2C366&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro2s2fe1.jpg	(from https://www.niagaweb.co.id/)
11:24:37	23959/23959	---M--	200	added ('OK')	image/jpeg	etag:%226c6f1772da0e0d9c%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro4.jpg?fit=525%2C364&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/compro4e283.jpg	(from https://www.niagaweb.co.id/)
11:24:38	28533/28533	---M--	200	added ('OK')	image/jpeg	etag:%22705b173e420bc40e%22	https://i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko1-1.jpg?fit=525%2C342&ssl=1	D:/WEBSITE/WEB%20PARTNER/i0.wp.com/www.niagaweb.co.id/wp-content/uploads/2020/12/toko1-17234.jpg	(from https://www.niagaweb.co.id/)
